Source,Destination,Shipment_Date,Weight,Volume,Equipment_Type,Carrier_Name,Freight_Rate,Shipment_ID,Service_Level,Temperature,Pickup_Date,Loading_Dock_Type,Shipment_Status,VIN,Payment_Terms,Commodity_Type,Distance,Driver_ID
Mumbai,Chennai,32/02/2026,19288 kg,80 CBM,Tanker,Schneider National,"USD 1,351",SH100246,Next Day,Cold,2024-01-15T08:30,Side Load,In Transit,vin4531574,Freight Collect,Electronics,700 km,DRV 5003768
Ranchi,Mumbai,06-03-2026,15496 KG,83 cubic meters,Flatbed,Ryder Logistics,"USD 2,634",SH100247,Overnight,35°F,"January 15, 2024",Side Load,Delayed,VIN-2733489,COL,Pharma,500km,drv5853355
Madurai,Noida,06-03-2026,8218 KG,15 cu ft,Step Deck,Maersk Line,"$3,074",SH100248,STD,40°F,20240115,Ramp,Cancelled,VIN1687872,STC,Furniture,300km,DRV-6469865
Chandigarh,Mumbai,Feb 6 2026,5045 tons,3 m3,Step Deck,XPO Logistics,1871,SH100249,Premium,35°F,Jan 15 2024,Rear Load,In Transit,VIN:4381798,STC,Pharma,500km,DRV 5557703
Noida,Surat,32/02/2026,4875 Ton,61 CBM,Step Deck,Ryder Logistics,3589,SH100250,Overnight,-5C,01/15/2024,Ramp,Cancelled,VIN 4513229,PPD,Textiles,250 km,drv2025992
Guwahati,Hyderabad,32/02/2026,6263 KG,62 m3,Step Deck,FedEx Freight,"₹3,505",SH100251,Overnight,2°C,Jan 15 2024,Dock,Delivered,VIN:2595547,COL,Electronics,350 KM,DRIVER6814906
Ahmedabad,Ranchi,06-03-2026,243 lbs,62 m3,FTL,Landstar System,1814,SH100252,STD,8C,15-01-2024,Dock,Cancelled,VIN:8506214,Freight Collect,Steel,250 km,DRV 3334295
Gurgaon,Chandigarh,06-03-2026,13917 tons,75 CBM,Tanker,SWIFT TRANSPORT,USD 2683,SH100253,Priority,35°F,01/15/2024,Side Load,Cancelled,VIN 1072984,Collect,Steel,350 KM,DRV4729036
Delhi,Vijayawada,06-03-2026,18383 tons,4 CBM,Tanker,DHL Express,₹1958,SH100254,Premium,No Temp Control,15-01-2024,Side Load,On Hold,vin9943602,Prepaid,Steel,350 KM,drv5588122
Trichy,Lucknow,32/02/2026,1588 kg,30 CBM,Lowboy,JB Hunt,3990,SH100255,Next Day,8C,2024-01-15T08:30,Forklift,In Transit,VIN:5019529,STC,Steel,400 kilometers,DRV6730580
Trichy,Ahmedabad,03-06-2026,15300 KG,95 m3,Flatbed,DHL Express,1737,SH100256,Next Day,-5C,2024-01-15T08:30,Side Load,In Transit,VIN2758605,Prepaid,Auto Parts,450-km,DRIVER4091373
Guwahati,Hyderabad,06-03-2026,574 kg,69 m3,Step Deck,Landstar System,942 USD,SH100257,Economy,Cold,Jan 15 2024,Open Yard,Cancelled,VIN:4146882,PPD,Agricultural Products,250 km,drv5275866
Bhopal,Ranchi,March 6 2026,2479 lbs,74 m3,Lowboy,SWIFT TRANSPORT,3570,SH100258,Urgent,Frozen,01/15/2024,No Dock,In Transit,VIN 9302348,Collect,Auto Parts,1000kms,DRV-2493140
Chandigarh,Ahmedabad,Feb 6 2026,18002 kg,74 m3,LTL,XPO Logistics,$1853,SH100259,STD,Cold,"January 15, 2024",Open Yard,On Hold,VIN3641597,STC,Steel,900 km,DRV3265127
Trichy,Lucknow,03-06-2026,389 kg,54 m3,Reefer,JB Hunt,EUR 1798,SH100260,Standard,20 °C,Jan 15 2024,Lift Gate,On Hold,VIN:6145314,Freight Prepaid,Machinery,700 km,DRIVER2026595
Mumbai,Kanpur,March 6 2026,18047 kg,36 cubic meters,FTL,UPS Logistics,USD 3284,SH100261,Next Day,Cold,Jan 15 2024,Rear Load,Picked Up,VIN9511481,PPD,Machinery,250 km,DRV-7774143
Indore,Vijayawada,Feb 6 2026,4275 KG,77 m3,LTL,SWIFT TRANSPORT,2274 USD,SH100262,Overnight,20 °C,2024-01-15T08:30,Dock,Picked Up,VIN 3654964,Freight Collect,Machinery,500km,DRV-2892826
Jaipur,Gurgaon,06-03-2026,7047 Ton,28 cubic meters,Lowboy,Ryder Logistics,$1461,SH100263,Urgent,Ambient,15-01-2024,Ramp,Processing,VIN-7838840,Prepaid,Textiles,700 km,DRV 8469197
Chandigarh,Kanpur,32/02/2026,8057 Ton,100 CBM,Step Deck,DHL Express,988 USD,SH100264,Express,+4C,2024-01-15T08:30,Ramp,In Transit,VIN-3257807,Collect,FMCG,1200 kilometers,DRV-2289576
Mumbai,Chennai,06-03-2026,14114 kg,90 cubic meters,fulltruck,Swift Transport,3066,SH100265,Priority,-5C,15-01-2024,No Dock,In Transit,vin6277497,Prepaid,Auto Parts,450-km,DRV 6609877
Ahmedabad,Gurgaon,06-03-2026,17929 KG,85 CBM,fulltruck,Schneider National,1346 USD,SH100266,Standard,-10°F,20240115,No Dock,Delivered,VIN-8106068,Prepaid,Electronics,350 KM,DRV8088957
Trichy,Chennai,32/02/2026,204 tons,50 m3,LTL,Knight Transportation,"₹1,474",SH100267,Standard,20 °C,15-01-2024,Dock,In Transit,VIN 3394971,COL,Auto Parts,1200 kilometers,DRV-4862459
Vijayawada,Ahmedabad,06-03-2026,3768 kg,49 cu ft,LTL,Landstar System,3215 USD,SH100268,Premium,Cold,15-01-2024,No Dock,On Hold,VIN9052934,COL,Agricultural Products,450-km,DRIVER8437011
Mumbai,Delhi,32/02/2026,5123 kg,46 m3,Tanker,FedEx Freight,2292,SH100269,Overnight,35°F,"January 15, 2024",Side Load,Delayed,VIN-5125804,Freight Collect,Steel,1000kms,DRV-1982631
Trichy,Nagpur,03-06-2026,4960 kg,18 CBM,Container,Knight Transportation,EUR 2115,SH100270,STD,-10°F,15-01-2024,Side Load,Processing,VIN 6727846,STC,Electronics,1000kms,DRIVER7361946
Noida,Surat,06-03-2026,16946 Ton,61 cubic meters,Container,Schneider National,EUR 2476,SH100271,Economy,-5C,2024-01-15T08:30,Rear Load,In Transit,VIN 8603192,Prepaid,Textiles,900 km,DRIVER6589663
Pune,Varanasi,06-03-2026,12497 lbs,96 CBM,Lowboy,Maersk Line,1886 USD,SH100272,Express,No Temp Control,15-01-2024,Side Load,Delayed,VIN 3494224,PPD,Furniture,450-km,DRV7635585
Guwahati,Hyderabad,32/02/2026,17948 lbs,53 cubic meters,FTL,Knight Transportation,EUR 3411,SH100273,Premium,8C,15-01-2024,Dock,In Transit,VIN8479507,Freight Collect,Electronics,700 km,DRV 5698162
Pune,Varanasi,32/02/2026,4069 Ton,76 m3,Tanker,SWIFT TRANSPORT,2424 USD,SH100274,Overnight,5 °C,20240115,Lift Gate,Processing,VIN5964485,COL,FMCG,800 KM,DRIVER5751465
Delhi,Guwahati,03-06-2026,9814 lbs,33 cubic meters,Lowboy,Landstar System,1232,SH100275,Same Day,Ambient,20240115,Forklift,Delivered,vin1433390,Freight Collect,Textiles,500km,DRIVER9717781
Pune,Varanasi,March 6 2026,12476 kg,25 cubic meters,LTL,Knight Transportation,1243,SH100276,Priority,40°F,20240115,Dock,Delayed,VIN:2263395,PPD,Electronics,900 km,DRIVER6697124
Chennai,Hyderabad,Feb 6 2026,4929 kg,96 m3,LTL,Swift Transport,3313 USD,SH100277,Same Day,5 °C,01/15/2024,Lift Gate,On Hold,VIN-3671507,Freight Collect,Agricultural Products,600 KM,DRV-3850291
Trichy,Chennai,06-03-2026,11554 kg,19 cubic meters,Step Deck,JB Hunt,EUR 3624,SH100278,Next Day,Frozen,20240115,Lift Gate,On Hold,VIN:3543567,Prepaid,Agricultural Products,600 KM,DRIVER3375458
Visakhapatnam,Chandigarh,06-03-2026,2894 lbs,35 cubic meters,Less Than Truckload,Landstar System,2063,SH100279,Economy,2°C,15-01-2024,Dock,In Transit,VIN:9455417,Prepaid,Auto Parts,900 km,DRIVER2741934
Hyderabad,Ahmedabad,Feb 6 2026,17386 tons,12 cu ft,Reefer,FedEx Freight,1925,SH100280,Overnight,Cold,15-01-2024,Forklift,Delivered,VIN:1190430,Prepaid,FMCG,700 km,DRV 5832442
Madurai,Noida,32/02/2026,4861 KG,52 cubic meters,FTL,Maersk Line,951,SH100281,Priority,2C,"January 15, 2024",Loading Dock,In Transit,VIN 1161611,STC,Pharma,500km,DRV2912775
Chandigarh,Kanpur,06-03-2026,13032 lbs,73 cubic meters,Step Deck,UPS Logistics,EUR 3631,SH100282,Priority,Cold,2024-01-15T08:30,Loading Dock,Cancelled,VIN-3048470,Freight Prepaid,Auto Parts,700 km,DRIVER6562045
Delhi,Vijayawada,Feb 6 2026,1478 Ton,81 cu ft,Flatbed,Landstar System,"$1,284",SH100283,Premium,No Temp Control,01/15/2024,Lift Gate,Delayed,VIN-3948688,PPD,Agricultural Products,900 km,DRV 2731483
Coimbatore,Chennai,32/02/2026,3684 kg,32 cu ft,LTL,Swift Transport,"EUR 3,079",SH100284,Overnight,-5C,Jan 15 2024,Forklift,Delivered,VIN-8743234,PPD,Auto Parts,450-km,DRV6371223
Patna,Kanpur,06-03-2026,4888 tons,72 m3,Lowboy,Schneider National,EUR 1566,SH100285,Next Day,35°F,"January 15, 2024",Side Load,Pending,VIN:2425248,Freight Prepaid,Auto Parts,700 km,drv1616979
Hyderabad,Visakhapatnam,06-03-2026,12666 Ton,58 cubic meters,Less Than Truckload,XPO Logistics,2286 USD,SH100286,Overnight,Frozen,20240115,Ramp,In Transit,vin9545604,Freight Prepaid,Agricultural Products,1200 kilometers,drv7605619
Cochi,Chandigarh,06-03-2026,1985 tons,71 CBM,Container,JB Hunt,"₹2,637",SH100287,Next Day,40°F,2024-01-15T08:30,Rear Load,Cancelled,VIN 5350701,PPD,Steel,800 KM,drv3194944
Nagpur,Delhi,06-03-2026,5390 tons,53 CBM,fulltruck,UPS Logistics,1936,SH100288,Same Day,2C,Jan 15 2024,Rear Load,Picked Up,VIN:9217152,Freight Collect,Textiles,300km,DRIVER4083349
Ahmedabad,Chennai,03-06-2026,418 tons,26 m3,Flatbed,Ryder Logistics,₹3132,SH100289,Ground,8C,2024-01-15T08:30,No Dock,Delayed,VIN:9052147,COL,Chemicals,1000kms,DRIVER9051204
Vijayawada,Ahmedabad,03-06-2026,4540 KG,47 cu ft,Flatbed,JB Hunt,"EUR 1,507",SH100290,Economy,+4C,"January 15, 2024",Ramp,Picked Up,VIN6999068,COL,Electronics,450-km,DRV-2358870
Coimbatore,Chennai,03-06-2026,12212 kg,24 m3,Flatbed,DHL Express,"USD 2,471",SH100291,Economy,No Temp Control,01/15/2024,Ramp,Pending,vin3333783,STC,Agricultural Products,900 km,DRV 3430320
Gurgaon,Chandigarh,06-03-2026,3940 Ton,94 CBM,Full Truck Load,JB Hunt,3310,SH100292,Premium,+4C,15-01-2024,Open Yard,Delivered,vin3245353,Prepaid,Electronics,600 KM,drv7245149
Indore,Chennai,Feb 6 2026,4916 Ton,97 cubic meters,Less Than Truckload,Landstar System,"₹3,616",SH100293,Same Day,20 °C,15-01-2024,Dock,Delayed,VIN:5970453,COL,Furniture,450-km,drv5750926
Trichy,Chennai,06-03-2026,11423 kg,99 cu ft,LTL,UPS Logistics,"EUR 2,447",SH100294,Express,40°F,15-01-2024,Dock,Delivered,VIN 3492350,COL,Pharma,600 KM,DRV-8301192
Nagpur,Delhi,06-03-2026,15474 Ton,45 m3,FTL,Knight Transportation,"$2,489",SH100295,Overnight,Ambient,15-01-2024,Loading Dock,In Transit,VIN:8019275,Collect,Electronics,500km,DRIVER5669387
Mumbai,Chennai,06-03-2026,9516 kg,23 CBM,Tanker,Ryder Logistics,3595,SH100296,Overnight,-10°F,2024-01-15T08:30,Loading Dock,Cancelled,VIN4198902,Freight Collect,Electronics,900 km,DRV-6798027
Jaipur,Gurgaon,March 6 2026,6569 kg,6 m3,Dry Van,Landstar System,3037 USD,SH100297,Overnight,Cold,15-01-2024,Dock,Cancelled,VIN 5683390,Freight Prepaid,Textiles,900 km,DRV2505241
Indore,Vijayawada,32/02/2026,14673 kg,19 cu ft,Lowboy,SWIFT TRANSPORT,3741 USD,SH100298,Premium,20 °C,2024-01-15T08:30,Loading Dock,Picked Up,VIN-2421936,STC,FMCG,400 kilometers,DRV6854347
Noida,Hosur,03-06-2026,17681 tons,21 cu ft,Full Truck Load,JB Hunt,2360,SH100299,STD,40°F,Jan 15 2024,Ramp,Processing,VIN8322964,COL,Pharma,600 KM,drv2285889
Cochi,Chandigarh,32/02/2026,3848 KG,66 CBM,Flatbed,Swift Transport,1185 USD,SH100300,Standard,Frozen,20240115,Side Load,Cancelled,VIN 3196416,PPD,Agricultural Products,350 KM,DRIVER6033447
Mumbai,Delhi,32/02/2026,12262 kg,94 m3,Flatbed,SWIFT TRANSPORT,2165,SH100301,Priority,20 °C,15-01-2024,Lift Gate,On Hold,vin6748889,Freight Collect,Furniture,300km,drv3977363
Ahmedabad,Chennai,06-03-2026,14988 tons,32 cubic meters,Full Truck Load,SWIFT TRANSPORT,1348 USD,SH100302,Urgent,-10°F,20240115,No Dock,Delivered,vin1415439,COL,Machinery,800 KM,drv8831033
Patna,Kanpur,06-03-2026,5224 Ton,14 m3,Lowboy,JB Hunt,2075,SH100303,Priority,-10°F,15-01-2024,Side Load,Cancelled,VIN-5039049,Freight Collect,Chemicals,1000kms,DRV 1915992
Nagpur,Delhi,March 6 2026,19772 Ton,91 CBM,Tanker,Maersk Line,USD 1503,SH100304,STD,5 °C,15-01-2024,Open Yard,Picked Up,vin4809895,PPD,Chemicals,700 km,DRV3664297
Gurgaon,Chandigarh,March 6 2026,15427 Ton,28 cubic meters,Lowboy,Ryder Logistics,934 USD,SH100305,Economy,5 °C,Jan 15 2024,Open Yard,Processing,VIN-7967087,Prepaid,Auto Parts,700 km,DRV1960719
Trichy,Chennai,06-03-2026,8622 Ton,9 m3,Reefer,DHL Express,3327,SH100306,Express,2°C,2024-01-15T08:30,Loading Dock,Processing,VIN-1701188,Freight Collect,FMCG,400 kilometers,drv8954606
Chandigarh,Kanpur,03-06-2026,17897 Ton,67 m3,Step Deck,Maersk Line,₹2660,SH100307,STD,-10°F,01/15/2024,Loading Dock,Cancelled,VIN 9389988,PPD,Machinery,250 km,DRV2749774
Bhopal,Chennai,03-06-2026,11068 tons,78 m3,Container,Swift Transport,EUR 2380,SH100308,Next Day,No Temp Control,15-01-2024,Dock,Picked Up,vin9183996,Freight Prepaid,Agricultural Products,1000kms,drv8093385
Delhi,Guwahati,Feb 6 2026,937 Ton,46 CBM,fulltruck,Swift Transport,"EUR 1,866",SH100309,Next Day,2C,01/15/2024,No Dock,Pending,VIN 5203503,PPD,Machinery,1200 kilometers,DRV-3717608
Gurgaon,Chandigarh,Feb 6 2026,9284 kg,22 cu ft,Reefer,Knight Transportation,1121 USD,SH100310,Standard,Cold,2024-01-15T08:30,Rear Load,Delivered,VIN7964487,PPD,Steel,1000kms,DRIVER6128462
Trichy,Ahmedabad,March 6 2026,13938 lbs,98 cu ft,Lowboy,XPO Logistics,2660 USD,SH100311,Overnight,40°F,"January 15, 2024",Ramp,Processing,VIN-7041535,COL,Electronics,250 km,DRV 4203492
Varanasi,Pune,Feb 6 2026,19262 lbs,8 cubic meters,fulltruck,JB Hunt,$1296,SH100312,Next Day,Ambient,20240115,Lift Gate,Delivered,vin7162107,PPD,Auto Parts,1200 kilometers,drv4872955
Varanasi,Pune,06-03-2026,2566 Ton,5 CBM,Step Deck,UPS Logistics,USD 3089,SH100313,Express,8C,15-01-2024,Open Yard,Pending,VIN 1860265,COL,Electronics,450-km,DRV 7539158
Guwahati,Hyderabad,32/02/2026,12719 KG,70 m3,Lowboy,UPS Logistics,"$1,988",SH100314,Next Day,No Temp Control,"January 15, 2024",Dock,Delivered,vin5101700,Freight Collect,Agricultural Products,350 KM,DRV-3308782
Delhi,Guwahati,32/02/2026,16785 tons,91 cu ft,Full Truck Load,DHL Express,1293,SH100315,STD,No Temp Control,15-01-2024,Rear Load,Delayed,VIN8464400,Collect,Machinery,250 km,DRIVER3967172
Indore,Vijayawada,03-06-2026,17943 KG,37 cubic meters,Reefer,XPO Logistics,"EUR 1,559",SH100316,Economy,Ambient,15-01-2024,No Dock,Processing,VIN:4759752,STC,Agricultural Products,900 km,DRV7239403
Noida,Surat,06-03-2026,2365 tons,100 cubic meters,FTL,FedEx Freight,3081 USD,SH100317,Ground,Cold,15-01-2024,Lift Gate,Pending,vin3373606,Freight Collect,Steel,800 KM,drv2644326
Ahmedabad,Ranchi,03-06-2026,13462 tons,21 CBM,FTL,Knight Transportation,2137 USD,SH100318,STD,5 °C,"January 15, 2024",Ramp,Pending,VIN 1893355,STC,Pharma,800 KM,DRV 5377425
Raipur,Vijayawada,06-03-2026,3696 lbs,70 cubic meters,Lowboy,XPO Logistics,1305 USD,SH100319,Ground,-10°F,20240115,Dock,Delayed,VIN7375210,Collect,Auto Parts,700 km,DRV 4112376
Indore,Nagpur,Feb 6 2026,9727 Ton,51 m3,LTL,Maersk Line,"₹2,158",SH100320,STD,20 °C,2024-01-15T08:30,Loading Dock,Processing,VIN-7345835,Prepaid,Machinery,400 kilometers,DRV-1145933
Trichy,Ahmedabad,06-03-2026,19239 lbs,38 m3,LTL,SWIFT TRANSPORT,EUR 2444,SH100321,Economy,8C,"January 15, 2024",No Dock,Delivered,VIN:4602843,PPD,Electronics,1200 kilometers,drv2310405
Nagpur,Delhi,Feb 6 2026,7132 lbs,92 m3,Tanker,Landstar System,1437,SH100322,Priority,8C,15-01-2024,Dock,Pending,VIN7169477,Freight Prepaid,Furniture,250 km,DRV6509883
Cochi,Chandigarh,06-03-2026,19517 kg,56 cu ft,LTL,SWIFT TRANSPORT,2712 USD,SH100323,Economy,No Temp Control,01/15/2024,Open Yard,In Transit,VIN:2070393,Freight Collect,Electronics,900 km,DRV6571125
Indore,Nagpur,Feb 6 2026,18167 kg,47 cu ft,Flatbed,FedEx Freight,"$1,781",SH100324,Urgent,Frozen,20240115,No Dock,Delivered,VIN:7211578,COL,Machinery,500km,drv2984982
Indore,Ranchi,03-06-2026,753 KG,40 cubic meters,Step Deck,FedEx Freight,EUR 3365,SH100325,Premium,35°F,01/15/2024,Forklift,Cancelled,VIN:9734330,Collect,Pharma,1200 kilometers,DRIVER2057306
Noida,Surat,06-03-2026,2005 Ton,10 cubic meters,Lowboy,UPS Logistics,USD 1352,SH100326,Overnight,Frozen,Jan 15 2024,Ramp,On Hold,VIN4418906,COL,Machinery,250 km,DRIVER7488296
Indore,Vijayawada,06-03-2026,10989 Ton,48 cu ft,Reefer,Swift Transport,₹2250,SH100327,Overnight,Frozen,15-01-2024,Ramp,On Hold,VIN:8171120,Collect,Chemicals,250 km,DRV-3163960
Bhopal,Ranchi,Feb 6 2026,2423 Ton,3 CBM,Less Than Truckload,FedEx Freight,$2632,SH100328,STD,Cold,20240115,No Dock,Pending,VIN-9340621,Collect,Furniture,300km,drv8799233
Pune,Varanasi,March 6 2026,1202 kg,67 m3,fulltruck,Ryder Logistics,3955,SH100329,Ground,20 °C,20240115,Open Yard,Delayed,VIN 9312499,Freight Collect,Furniture,350 KM,DRV4121364
Trichy,Lucknow,06-03-2026,16145 KG,79 cubic meters,Dry Van,XPO Logistics,3004,SH100330,Ground,5 °C,01/15/2024,Dock,Delivered,VIN-1992116,Freight Collect,Furniture,700 km,drv5092050
Patna,Kanpur,06-03-2026,1227 Ton,43 m3,Step Deck,Ryder Logistics,2002 USD,SH100331,STD,Cold,Jan 15 2024,Loading Dock,Processing,VIN:4325224,Freight Collect,Steel,400 kilometers,DRV 7718050
Raipur,Vijayawada,Feb 6 2026,5251 KG,59 cu ft,Tanker,Landstar System,3336,SH100332,Priority,No Temp Control,15-01-2024,Dock,Picked Up,VIN5683360,PPD,Electronics,300km,DRV6807874
Patna,Chennai,Feb 6 2026,4304 Ton,75 cu ft,fulltruck,UPS Logistics,3035,SH100333,Ground,-5C,20240115,Loading Dock,Cancelled,VIN7028097,Collect,Auto Parts,800 KM,DRV 5098746
Mumbai,Trichy,32/02/2026,16411 kg,37 cubic meters,Tanker,Schneider National,2807,SH100334,Premium,35°F,Jan 15 2024,Lift Gate,Cancelled,VIN-2529911,Collect,Agricultural Products,400 kilometers,drv3348010
Vijayawada,Ahmedabad,March 6 2026,17057 kg,57 CBM,Less Than Truckload,Swift Transport,$3951,SH100335,Ground,+4C,15-01-2024,Side Load,In Transit,vin1342104,Prepaid,Pharma,600 KM,DRV3987351
Chandigarh,Kanpur,Feb 6 2026,9421 kg,58 cubic meters,fulltruck,Ryder Logistics,3212,SH100336,Same Day,+4C,2024-01-15T08:30,Loading Dock,On Hold,VIN:6334702,COL,Furniture,600 KM,drv9821567
Ranchi,Mumbai,06-03-2026,4005 KG,54 cu ft,Dry Van,Maersk Line,2308,SH100337,STD,Cold,"January 15, 2024",No Dock,In Transit,VIN8880949,Prepaid,Auto Parts,450-km,drv7005658
Mumbai,Delhi,03-06-2026,18649 Ton,76 cubic meters,LTL,Schneider National,"₹2,697",SH100338,Priority,2°C,2024-01-15T08:30,Lift Gate,Delivered,vin6925573,Freight Prepaid,Steel,350 KM,DRIVER1056718
Indore,Chennai,03-06-2026,13202 kg,24 CBM,Tanker,DHL Express,"$2,056",SH100339,Economy,8C,2024-01-15T08:30,Forklift,Picked Up,VIN-6995056,Prepaid,Electronics,900 km,DRV8154746
Indore,Ranchi,03-06-2026,19351 tons,94 cu ft,Flatbed,JB Hunt,1915,SH100340,Urgent,Cold,Jan 15 2024,Open Yard,Cancelled,VIN:7525671,PPD,Machinery,900 km,DRV-6324830
Indore,Ranchi,32/02/2026,18881 tons,13 cu ft,fulltruck,Maersk Line,1999,SH100341,Economy,8C,20240115,Ramp,Cancelled,VIN-2408516,Freight Prepaid,Auto Parts,900 km,drv2312054
Bhopal,Chennai,March 6 2026,13951 KG,38 cu ft,Dry Van,XPO Logistics,2792,SH100342,Ground,20 °C,"January 15, 2024",Dock,Pending,VIN 1982542,STC,Furniture,450-km,DRV-9976787
Ahmedabad,Chennai,06-03-2026,9106 lbs,39 cu ft,Flatbed,Swift Transport,$1864,SH100343,Overnight,5 °C,15-01-2024,Ramp,Picked Up,VIN3168097,Prepaid,Pharma,450-km,DRIVER9583820
Delhi,Vijayawada,03-06-2026,3753 Ton,15 CBM,Flatbed,Landstar System,USD 2966,SH100344,STD,8C,"January 15, 2024",Rear Load,In Transit,vin8635191,Collect,Plastic Goods,450-km,DRV 6148455
Jaipur,Gurgaon,Feb 6 2026,5173 Ton,55 cubic meters,Full Truck Load,UPS Logistics,1111 USD,SH100345,Urgent,2C,01/15/2024,Forklift,Delayed,VIN:1110887,Prepaid,Auto Parts,450-km,DRIVER4478276
Bhopal,Ranchi,32/02/2026,9373 tons,57 cubic meters,Full Truck Load,JB Hunt,1904,SH100346,Standard,Cold,20240115,Forklift,Pending,VIN-9808503,STC,Furniture,700 km,drv2878088
Delhi,Vijayawada,32/02/2026,11505 kg,48 CBM,Less Than Truckload,Swift Transport,USD 2861,SH100347,Premium,20 °C,2024-01-15T08:30,Loading Dock,Processing,VIN-9196827,Collect,Furniture,500km,DRV 9780265
Indore,Chennai,03-06-2026,16032 tons,32 CBM,LTL,JB Hunt,USD 1947,SH100348,Priority,Cold,"January 15, 2024",Ramp,Delivered,VIN-8961756,Freight Prepaid,Agricultural Products,500km,DRV 6974875
Delhi,Chennai,March 6 2026,18446 tons,1 cu ft,Container,UPS Logistics,USD 2085,SH100349,Premium,5 °C,15-01-2024,Side Load,Delivered,VIN 7837670,Collect,Furniture,600 KM,DRV-3450120
Delhi,Chennai,32/02/2026,16421 Ton,57 CBM,Dry Van,Knight Transportation,$3128,SH100350,Premium,8C,Jan 15 2024,Rear Load,Delayed,VIN 5556775,STC,Auto Parts,700 km,DRIVER7207180
Noida,Hosur,06-03-2026,10162 Ton,92 m3,FTL,JB Hunt,USD 1820,SH100351,Standard,40°F,01/15/2024,Loading Dock,In Transit,VIN:4648884,Freight Collect,Auto Parts,700 km,DRV 6594817
Gurgaon,Chandigarh,32/02/2026,14446 tons,9 m3,fulltruck,Maersk Line,1443 USD,SH100352,Express,20 °C,Jan 15 2024,Loading Dock,Delivered,VIN-7943616,PPD,Plastic Goods,1000kms,DRV6761984
Jaipur,Gurgaon,March 6 2026,12146 Ton,82 cu ft,Tanker,DHL Express,EUR 1971,SH100353,Standard,Ambient,Jan 15 2024,Rear Load,Pending,vin4706729,Collect,Pharma,300km,drv4395648
Chandigarh,Ahmedabad,Feb 6 2026,16692 tons,4 cubic meters,fulltruck,Ryder Logistics,"USD 3,446",SH100354,Economy,+4C,20240115,Side Load,On Hold,vin6233480,Collect,Textiles,300km,DRV-2909649
Chandigarh,Ahmedabad,06-03-2026,14895 KG,89 CBM,FTL,UPS Logistics,EUR 3362,SH100355,Ground,+4C,01/15/2024,Ramp,On Hold,VIN:1151736,Collect,Pharma,700 km,DRV-7627505
Vijayawada,Ahmedabad,06-03-2026,9766 Ton,66 CBM,Tanker,Swift Transport,USD 2186,SH100356,STD,2C,Jan 15 2024,Rear Load,On Hold,VIN-5300670,Freight Collect,Agricultural Products,500km,drv2877052
Ranchi,Mumbai,03-06-2026,17530 lbs,96 m3,Flatbed,SWIFT TRANSPORT,USD 3647,SH100357,Priority,2°C,2024-01-15T08:30,Ramp,On Hold,VIN-4839903,PPD,Electronics,700 km,DRV1012032
Bhopal,Ranchi,Feb 6 2026,13163 kg,64 CBM,Reefer,JB Hunt,EUR 1891,SH100358,Same Day,2C,15-01-2024,No Dock,Pending,VIN-8474533,Prepaid,FMCG,450-km,DRV5600389
Ahmedabad,Hyderabad,32/02/2026,7176 KG,88 CBM,Reefer,DHL Express,3548,SH100359,Premium,2°C,15-01-2024,Ramp,In Transit,VIN 2796129,COL,Steel,500km,DRV7996068
Surat,Hosur,06-03-2026,18778 KG,45 CBM,Reefer,FedEx Freight,USD 3939,SH100360,Next Day,-5C,01/15/2024,Dock,In Transit,VIN-4298447,STC,Textiles,450-km,DRV 6494170
Indore,Nagpur,03-06-2026,11099 kg,28 cu ft,Flatbed,SWIFT TRANSPORT,1494 USD,SH100361,Same Day,8C,Jan 15 2024,Side Load,In Transit,VIN 5841944,Freight Prepaid,Furniture,1000kms,DRV7592984
Indore,Ranchi,March 6 2026,11312 tons,84 cu ft,LTL,Landstar System,3534,SH100362,Standard,35°F,20240115,Rear Load,Pending,VIN2643255,STC,Electronics,450-km,drv3762811
Gurgaon,Chandigarh,06-03-2026,7865 Ton,17 cubic meters,fulltruck,XPO Logistics,3646,SH100363,Standard,20 °C,"January 15, 2024",Side Load,Pending,VIN-6942587,PPD,Steel,400 kilometers,DRV-1836953
Varanasi,Pune,Feb 6 2026,5878 KG,30 m3,fulltruck,DHL Express,1205,SH100364,Urgent,20 °C,15-01-2024,Lift Gate,Processing,VIN 3334389,COL,Plastic Goods,700 km,DRIVER3978541
Guwahati,Hyderabad,March 6 2026,7663 tons,18 m3,Reefer,Ryder Logistics,3103,SH100365,Ground,8C,2024-01-15T08:30,Rear Load,In Transit,VIN:7199411,Collect,Machinery,500km,drv6881581
Chandigarh,Kanpur,Feb 6 2026,13588 lbs,55 m3,Container,FedEx Freight,3333,SH100366,Same Day,+4C,15-01-2024,Rear Load,On Hold,vin4016698,Collect,Chemicals,450-km,DRV 5758228
Trichy,Chennai,32/02/2026,18476 tons,41 cubic meters,FTL,JB Hunt,"₹3,411",SH100367,STD,8C,15-01-2024,Rear Load,Delayed,VIN-9812332,Prepaid,Textiles,1000kms,DRIVER8003445
Indore,Chennai,06-03-2026,11257 lbs,45 CBM,FTL,Landstar System,3242 USD,SH100368,Express,-5C,01/15/2024,Side Load,Cancelled,VIN:8556815,Freight Prepaid,Chemicals,800 KM,DRV 2126214
